Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
Range Rover Sport P400 MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
Range Rover Sport PHEV,2022,19.0,42.0,19.0,Automatic,2.0L,387,29,57
Range Rover Velar P340 MHEV,2022,,,22.0,Automatic,3.0L,387,29,45
Range Rover Velar P400 MHEV,2022,,,21.0,Automatic,3.0L,387,29,45
ES 300h,2022,,,44.0,Automatic,2.5L,243,27,45
LC 500h,2022,,,29.0,Automatic,3.5L,243,27,45
LS 500h AWD,2022,,,25.0,Automatic,3.5L,243,27,45
NX 350h AWD,2022,,,39.0,Automatic,2.5L,243,29,45
NX 450+ AWD,2022,37.0,84.0,36.0,Automatic,2.5L,243,29,57
RX 450h AWD,2022,,,30.0,Automatic,3.5L,243,29,45
RX 450h L AWD,2022,,,29.0,Automatic,3.5L,243,29,45
UX 250h,2022,,,42.0,Automatic,2.0L,243,27,45
UX 250h AWD,2022,,,39.0,Automatic,2.0L,243,27,45
Aviator AWD PHEV,2022,21.0,56.0,23.0,Automatic,3.0L,227,29,57
Corsair AWD PHEV,2022,28.0,78.0,33.0,Automatic,2.5L,227,29,57
"Air Dream P AWD w/19"" wheels",2022,471.0,116.0,,Automatic,370kW and 459kW electric motors,469,27,41
"Air Dream P AWD w/21"" wheels",2022,451.0,111.0,,Automatic,370kW and 459kW electric motors,469,27,41
"Air Dream R AWD w/19"" wheels",2022,520.0,125.0,,Automatic,198kW and 498kW electric motors,469,27,41
"Air Dream R AWD w/21"" wheels",2022,481.0,116.0,,Automatic,198kW and 498kW electric motors,469,27,41
"Air G Touring AWD w/19"" wheels",2022,516.0,131.0,,Automatic,178kW and 433kW electric motors,469,27,41
"Air G Touring AWD w/21"" wheels",2022,469.0,121.0,,Automatic,178kW and 433kW electric motors,469,27,41
MX-30,2022,100.0,92.0,,,81 kW electric motor,229,27,41
AMG E53 4MATIC+,2022,,,24.0,Automatic,3.0L,239,27,45
AMG E53 4MATIC+ (Convertible),2022,,,23.0,Automatic,3.0L,239,27,45
AMG E53 4MATIC+ (Coupe),2022,,,23.0,Automatic,3.0L,239,27,45
AMG GLE 53 4MATIC+,2022,,,19.0,Automatic,3.0L,239,29,45
AMG GLE 53 4MATIC+ (Coupe),2022,,,19.0,Automatic,3.0L,239,29,45
AMG GLE 63 4MATIC+,2022,,,15.0,Automatic,4.0L,239,29,45
AMG GLE 63 S 4MATIC+,2022,,,16.0,Automatic,4.0L,239,29,45
AMG GLE 63 S 4MATIC+ (coupe),2022,,,16.0,Automatic,4.0L,239,29,45
AMG GT 43 4MATIC+,2022,,,21.0,Automatic,3.0L,239,27,45
AMG GT 53 4MATIC+,2022,,,21.0,Automatic,3.0L,239,27,45
C 300,2022,,,29.0,Automatic,2.0L,239,27,45
C 300 4MATIC,2022,,,27.0,Automatic,2.0L,239,27,45
CLS 450 4MATIC,2022,,,25.0,Automatic,3.0L,239,27,45
