Model_year,Make,Model,Vehicle Class,Motor(kw),Transmission,Fuel_type,Consumption_city(kwh/100km),Consumption_Hwy(kwh/100km),Consumption_comb(kwh/100km),Consumption_city(Le/100km),Consumption_Hwy(Le/100km),Consumption_comb(Le/100km),Range(km),CO2_Emissions(g/km),CO2 ,Smog_rating,Recharge_time(h)
2022,BMW,"iX xDrive50 (22"" Wheels)",SUV: Standard,400.0,A1,B,24.3,24.5,24.4,2.7,2.8,2.7,507.0,0.0,10.0,10.0,12.0
2022,Chevrolet,Bolt EUV,Station wagon: Small,150.0,A1,B,16.8,20.1,18.3,1.9,2.3,2.1,397.0,0.0,10.0,10.0,7.5
2022,Chevrolet,Bolt EV,Station wagon: Small,150.0,A1,B,16.0,19.2,17.5,1.8,2.2,2.0,417.0,0.0,10.0,10.0,7.5
2022,Ford,F-150 Lightning Standard Range,Pickup truck: Standard,318.0,A1,B,27.5,34.5,30.6,3.1,3.9,3.4,370.0,0.0,10.0,10.0,11.8
2022,Ford,F-150 Lightning Extended Range,Pickup truck: Standard,420.0,A1,B,26.9,33.3,29.8,3.0,3.7,3.3,515.0,0.0,10.0,10.0,10.1
2022,Ford,F-150 Lightning Platinum,Pickup truck: Standard,420.0,A1,B,28.7,35.0,31.5,3.2,3.9,3.5,483.0,0.0,10.0,10.0,9.3
2022,Ford,Mustang Mach-E Standard Range,SUV: Small,198.0,A1,B,19.0,21.9,20.3,2.1,2.5,2.3,397.0,0.0,10.0,10.0,8.1
2022,Ford,Mustang Mach-E Standard Range AWD,SUV: Small,198.0,A1,B,21.1,24.3,22.6,2.4,2.7,2.5,360.0,0.0,10.0,10.0,8.0
2022,Ford,Mustang Mach-E Extended Range,SUV: Small,216.0,A1,B,20.2,23.2,21.5,2.3,2.6,2.4,488.0,0.0,10.0,10.0,10.9
2022,Ford,Mustang Mach-E Extended Range AWD,SUV: Small,258.0,A1,B,21.6,24.9,23.1,2.4,2.8,2.6,446.0,0.0,10.0,10.0,10.7
2022,Ford,Mustang Mach-E California Route 1,SUV: Small,216.0,A1,B,19.4,22.3,20.7,2.2,2.5,2.3,505.0,0.0,10.0,10.0,11.4
